"homestatecode","salestatecode","month","year","txn_count","salestatename","homestatename"
"05","01","9","2023","7","JAMMU AND KASHMIR","UTTARAKHAND"
"06","01","9","2023","12","JAMMU AND KASHMIR","HARYANA"
"07","01","9","2023","3","JAMMU AND KASHMIR","DELHI"
"08","01","9","2023","2","JAMMU AND KASHMIR","RAJASTHAN"
"09","01","9","2023","2397","JAMMU AND KASHMIR","UTTAR PRADESH"
"10","01","9","2023","936","JAMMU AND KASHMIR","BIHAR"
"18","01","9","2023","8","JAMMU AND KASHMIR","ASSAM"
"19","01","9","2023","4","JAMMU AND KASHMIR","WEST BENGAL"
"20","01","9","2023","3","JAMMU AND KASHMIR","JHARKHAND"
"22","01","9","2023","498","JAMMU AND KASHMIR","CHHATTISGARH"
"23","01","9","2023","682","JAMMU AND KASHMIR","MADHYA PRADESH"
"24","01","9","2023","1","JAMMU AND KASHMIR","GUJARAT"
"27","01","9","2023","3","JAMMU AND KASHMIR","MAHARASHTRA"
"29","01","9","2023","1","JAMMU AND KASHMIR","KARNATAKA"
"33","01","9","2023","1","JAMMU AND KASHMIR","TAMIL NADU"
"05","02","9","2023","37","HIMACHAL PRADESH","UTTARAKHAND"
"06","02","9","2023","45","HIMACHAL PRADESH","HARYANA"
"07","02","9","2023","22","HIMACHAL PRADESH","DELHI"
"08","02","9","2023","5","HIMACHAL PRADESH","RAJASTHAN"
"09","02","9","2023","7220","HIMACHAL PRADESH","UTTAR PRADESH"
"10","02","9","2023","2214","HIMACHAL PRADESH","BIHAR"
"19","02","9","2023","14","HIMACHAL PRADESH","WEST BENGAL"
"20","02","9","2023","14","HIMACHAL PRADESH","JHARKHAND"
"22","02","9","2023","19","HIMACHAL PRADESH","CHHATTISGARH"
"23","02","9","2023","185","HIMACHAL PRADESH","MADHYA PRADESH"
"02","03","9","2023","1","PUNJAB","HIMACHAL PRADESH"
"05","03","9","2023","1","PUNJAB","UTTARAKHAND"
"06","03","9","2023","9","PUNJAB","HARYANA"
"07","03","9","2023","8","PUNJAB","DELHI"
"08","03","9","2023","5","PUNJAB","RAJASTHAN"
"09","03","9","2023","417","PUNJAB","UTTAR PRADESH"
"10","03","9","2023","602","PUNJAB","BIHAR"
"18","03","9","2023","3","PUNJAB","ASSAM"
"19","03","9","2023","1","PUNJAB","WEST BENGAL"
"20","03","9","2023","3","PUNJAB","JHARKHAND"
"23","03","9","2023","16","PUNJAB","MADHYA PRADESH"
"27","03","9","2023","1","PUNJAB","MAHARASHTRA"
"05","04","9","2023","3","CHANDIGARH","UTTARAKHAND"
"09","04","9","2023","7","CHANDIGARH","UTTAR PRADESH"
"10","04","9","2023","15","CHANDIGARH","BIHAR"
"06","05","9","2023","32","UTTARAKHAND","HARYANA"
"07","05","9","2023","94","UTTARAKHAND","DELHI"
"08","05","9","2023","3","UTTARAKHAND","RAJASTHAN"
"09","05","9","2023","6281","UTTARAKHAND","UTTAR PRADESH"
"10","05","9","2023","1456","UTTARAKHAND","BIHAR"
"19","05","9","2023","3","UTTARAKHAND","WEST BENGAL"
"22","05","9","2023","10","UTTARAKHAND","CHHATTISGARH"
"23","05","9","2023","32","UTTARAKHAND","MADHYA PRADESH"
"24","05","9","2023","1","UTTARAKHAND","GUJARAT"
"27","05","9","2023","3","UTTARAKHAND","MAHARASHTRA"
"01","06","9","2023","2","HARYANA","JAMMU AND KASHMIR"
"02","06","9","2023","9","HARYANA","HIMACHAL PRADESH"
"05","06","9","2023","274","HARYANA","UTTARAKHAND"
"07","06","9","2023","693","HARYANA","DELHI"
"08","06","9","2023","735","HARYANA","RAJASTHAN"
"09","06","9","2023","29947","HARYANA","UTTAR PRADESH"
"10","06","9","2023","22935","HARYANA","BIHAR"
"18","06","9","2023","15","HARYANA","ASSAM"
"19","06","9","2023","199","HARYANA","WEST BENGAL"
"20","06","9","2023","68","HARYANA","JHARKHAND"
"21","06","9","2023","29","HARYANA","ODISHA"
"22","06","9","2023","87","HARYANA","CHHATTISGARH"
"23","06","9","2023","5591","HARYANA","MADHYA PRADESH"
"24","06","9","2023","21","HARYANA","GUJARAT"
"27","06","9","2023","13","HARYANA","MAHARASHTRA"
"28","06","9","2023","1","HARYANA","ANDHRA PRADESH"
"29","06","9","2023","2","HARYANA","KARNATAKA"
"33","06","9","2023","1","HARYANA","TAMIL NADU"
"01","07","9","2023","40","DELHI","JAMMU AND KASHMIR"
"02","07","9","2023","33","DELHI","HIMACHAL PRADESH"
"05","07","9","2023","4095","DELHI","UTTARAKHAND"
"06","07","9","2023","2172","DELHI","HARYANA"
"08","07","9","2023","1825","DELHI","RAJASTHAN"
"09","07","9","2023","130424","DELHI","UTTAR PRADESH"
"10","07","9","2023","152221","DELHI","BIHAR"
"13","07","9","2023","1","DELHI","NAGALAND"
"16","07","9","2023","1","DELHI","TRIPURA"
"18","07","9","2023","146","DELHI","ASSAM"
"19","07","9","2023","1474","DELHI","WEST BENGAL"
"20","07","9","2023","965","DELHI","JHARKHAND"
"21","07","9","2023","296","DELHI","ODISHA"
"22","07","9","2023","349","DELHI","CHHATTISGARH"
"23","07","9","2023","16110","DELHI","MADHYA PRADESH"
"24","07","9","2023","127","DELHI","GUJARAT"
"25","07","9","2023","1","DELHI","DAMAN AND DIU"
"27","07","9","2023","135","DELHI","MAHARASHTRA"
"28","07","9","2023","7","DELHI","ANDHRA PRADESH"
"29","07","9","2023","9","DELHI","KARNATAKA"
"32","07","9","2023","32","DELHI","KERALA"
"33","07","9","2023","171","DELHI","TAMIL NADU"
"05","08","9","2023","8","RAJASTHAN","UTTARAKHAND"
"06","08","9","2023","535","RAJASTHAN","HARYANA"
"07","08","9","2023","100","RAJASTHAN","DELHI"
"09","08","9","2023","2344","RAJASTHAN","UTTAR PRADESH"
"10","08","9","2023","2252","RAJASTHAN","BIHAR"
"18","08","9","2023","3","RAJASTHAN","ASSAM"
"19","08","9","2023","16","RAJASTHAN","WEST BENGAL"
"20","08","9","2023","7","RAJASTHAN","JHARKHAND"
"22","08","9","2023","9","RAJASTHAN","CHHATTISGARH"
"23","08","9","2023","1590","RAJASTHAN","MADHYA PRADESH"
"24","08","9","2023","34","RAJASTHAN","GUJARAT"
"27","08","9","2023","22","RAJASTHAN","MAHARASHTRA"
"28","08","9","2023","1","RAJASTHAN","ANDHRA PRADESH"
"29","08","9","2023","2","RAJASTHAN","KARNATAKA"
"05","09","9","2023","1","UTTAR PRADESH","UTTARAKHAND"
"06","09","9","2023","13","UTTAR PRADESH","HARYANA"
"07","09","9","2023","94","UTTAR PRADESH","DELHI"
"08","09","9","2023","4","UTTAR PRADESH","RAJASTHAN"
"10","09","9","2023","56","UTTAR PRADESH","BIHAR"
"19","09","9","2023","1","UTTAR PRADESH","WEST BENGAL"
"20","09","9","2023","2","UTTAR PRADESH","JHARKHAND"
"22","09","9","2023","7","UTTAR PRADESH","CHHATTISGARH"
"23","09","9","2023","16","UTTAR PRADESH","MADHYA PRADESH"
"27","09","9","2023","57","UTTAR PRADESH","MAHARASHTRA"
"01","10","9","2023","1","BIHAR","JAMMU AND KASHMIR"
"05","10","9","2023","18","BIHAR","UTTARAKHAND"
"06","10","9","2023","287","BIHAR","HARYANA"
"07","10","9","2023","1161","BIHAR","DELHI"
"08","10","9","2023","36","BIHAR","RAJASTHAN"
"09","10","9","2023","691","BIHAR","UTTAR PRADESH"
"13","10","9","2023","2","BIHAR","NAGALAND"
"18","10","9","2023","56","BIHAR","ASSAM"
"19","10","9","2023","181","BIHAR","WEST BENGAL"
"20","10","9","2023","206","BIHAR","JHARKHAND"
"21","10","9","2023","31","BIHAR","ODISHA"
"22","10","9","2023","85","BIHAR","CHHATTISGARH"
"23","10","9","2023","65","BIHAR","MADHYA PRADESH"
"24","10","9","2023","26","BIHAR","GUJARAT"
"25","10","9","2023","1","BIHAR","DAMAN AND DIU"
"27","10","9","2023","207","BIHAR","MAHARASHTRA"
"28","10","9","2023","4","BIHAR","ANDHRA PRADESH"
"29","10","9","2023","16","BIHAR","KARNATAKA"
"32","10","9","2023","1","BIHAR","KERALA"
"09","11","9","2023","3","SIKKIM","UTTAR PRADESH"
"10","11","9","2023","73","SIKKIM","BIHAR"
"22","11","9","2023","1","SIKKIM","CHHATTISGARH"
"23","11","9","2023","2","SIKKIM","MADHYA PRADESH"
"10","16","9","2023","7","TRIPURA","BIHAR"
"18","16","9","2023","8","TRIPURA","ASSAM"
"19","16","9","2023","1","TRIPURA","WEST BENGAL"
